"","S1 0.00872911680230834","S1 0.0561114009573183"
"filling_avg_temp",3,61
"filling_fq_Maximum_temperature..31",61,21
"filling_fq_Precipitation_amount..0.1",61,61
"filling_fq_Precipitation_amount..40",16,61
"filling_fq_Snow_depth..1",11,61
"filling_length_days",12,61
"filling_since_nyear_days",61,61
"filling_since_seed_days",36,5
"filling_sk_Maximum_temperature..31",25,14
"filling_sk_Precipitation_amount..0.1",61,61
"filling_sk_Precipitation_amount..40",61,61
"filling_sk_Snow_depth..1",17,61
"filling_total_prec",14,8
"generative_avg_temp",5,9
"generative_fq_Maximum_temperature..31",23,61
"generative_fq_Precipitation_amount..0.1",42,61
"generative_fq_Precipitation_amount..40",22,13
"generative_fq_Snow_depth..1",31,15
"generative_length_days",28,12
"generative_since_nyear_days",61,61
"generative_since_seed_days",61,61
"generative_sk_Maximum_temperature..31",24,61
"generative_sk_Precipitation_amount..0.1",33,61
"generative_sk_Precipitation_amount..40",34,17
"generative_sk_Snow_depth..1",27,10
"generative_total_prec",30,18
"NA_avg_temp",4,3
"NA_fq_Maximum_temperature..31",32,20
"NA_fq_Minimum_temperature...15",61,61
"NA_fq_Precipitation_amount..0.1",2,2
"NA_fq_Precipitation_amount..40",41,61
"NA_fq_Snow_depth..1",6,6
"NA_fq_Snow_depth..4",10,7
"NA_length_days",61,61
"NA_sk_Maximum_temperature..31",18,11
"NA_sk_Minimum_temperature...15",38,61
"NA_sk_Precipitation_amount..0.1",19,61
"NA_sk_Precipitation_amount..40",35,61
"NA_sk_Snow_depth..1",13,61
"NA_sk_Snow_depth..4",21,61
"NA_total_prec",15,16
"vegetative_avg_temp",61,61
"vegetative_fq_Maximum_temperature..31",37,61
"vegetative_fq_Precipitation_amount..0.1",26,61
"vegetative_fq_Precipitation_amount..40",40,61
"vegetative_fq_Snow_depth..1",61,61
"vegetative_fq_Snow_depth..4",61,61
"vegetative_length_days",61,61
"vegetative_since_nyear_days",7,4
"vegetative_sk_Maximum_temperature..31",39,61
"vegetative_sk_Precipitation_amount..0.1",9,19
"vegetative_sk_Precipitation_amount..40",43,61
"vegetative_sk_Snow_depth..1",61,61
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",20,61
"critical_events",61,61
"filling",29,61
"generative",61,61
"NA.",8,61
"vegetative",61,61
"area",1,1
