"","ST 0.00633222693162609","ST 0.0446726091079472"
"filling_avg_temp",22,61
"filling_fq_Maximum_temperature..31",61,61
"filling_fq_Precipitation_amount..0.1",61,61
"filling_fq_Precipitation_amount..40",24,61
"filling_fq_Snow_depth..1",16,61
"filling_length_days",11,61
"filling_since_nyear_days",61,61
"filling_since_seed_days",18,10
"filling_sk_Maximum_temperature..31",25,61
"filling_sk_Precipitation_amount..0.1",61,61
"filling_sk_Precipitation_amount..40",61,61
"filling_sk_Snow_depth..1",19,61
"filling_total_prec",10,12
"generative_avg_temp",4,9
"generative_fq_Maximum_temperature..31",30,61
"generative_fq_Precipitation_amount..0.1",61,61
"generative_fq_Precipitation_amount..40",21,61
"generative_fq_Snow_depth..1",23,11
"generative_length_days",31,8
"generative_since_nyear_days",61,61
"generative_since_seed_days",61,61
"generative_sk_Maximum_temperature..31",17,61
"generative_sk_Precipitation_amount..0.1",34,61
"generative_sk_Precipitation_amount..40",26,61
"generative_sk_Snow_depth..1",33,7
"generative_total_prec",8,6
"NA_avg_temp",3,4
"NA_fq_Maximum_temperature..31",15,61
"NA_fq_Minimum_temperature...15",61,61
"NA_fq_Precipitation_amount..0.1",2,3
"NA_fq_Precipitation_amount..40",61,61
"NA_fq_Snow_depth..1",12,13
"NA_fq_Snow_depth..4",32,5
"NA_length_days",61,61
"NA_sk_Maximum_temperature..31",27,61
"NA_sk_Minimum_temperature...15",61,61
"NA_sk_Precipitation_amount..0.1",13,61
"NA_sk_Precipitation_amount..40",61,61
"NA_sk_Snow_depth..1",28,61
"NA_sk_Snow_depth..4",61,61
"NA_total_prec",6,61
"vegetative_avg_temp",61,61
"vegetative_fq_Maximum_temperature..31",61,61
"vegetative_fq_Precipitation_amount..0.1",9,61
"vegetative_fq_Precipitation_amount..40",35,61
"vegetative_fq_Snow_depth..1",61,61
"vegetative_fq_Snow_depth..4",61,61
"vegetative_length_days",61,61
"vegetative_since_nyear_days",5,2
"vegetative_sk_Maximum_temperature..31",61,61
"vegetative_sk_Precipitation_amount..0.1",29,61
"vegetative_sk_Precipitation_amount..40",36,61
"vegetative_sk_Snow_depth..1",61,61
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",20,61
"critical_events",61,61
"filling",14,61
"generative",61,61
"NA.",7,61
"vegetative",61,61
"area",1,1
