"","ST 0.00288484467193453","ST 0.0269041579068974"
"filling_avg_temp",3,61
"filling_fq_Maximum_temperature..31",61,61
"filling_fq_Precipitation_amount..0.1",61,61
"filling_fq_Precipitation_amount..40",21,61
"filling_fq_Snow_depth..1",5,61
"filling_length_days",61,61
"filling_since_nyear_days",61,61
"filling_since_seed_days",28,61
"filling_sk_Maximum_temperature..31",22,61
"filling_sk_Precipitation_amount..0.1",61,61
"filling_sk_Precipitation_amount..40",61,61
"filling_sk_Snow_depth..1",23,61
"filling_total_prec",7,61
"generative_avg_temp",13,6
"generative_fq_Maximum_temperature..31",18,61
"generative_fq_Precipitation_amount..0.1",61,61
"generative_fq_Precipitation_amount..40",15,61
"generative_fq_Snow_depth..1",61,8
"generative_length_days",61,61
"generative_since_nyear_days",61,61
"generative_since_seed_days",61,61
"generative_sk_Maximum_temperature..31",27,61
"generative_sk_Precipitation_amount..0.1",24,61
"generative_sk_Precipitation_amount..40",31,61
"generative_sk_Snow_depth..1",61,61
"generative_total_prec",11,7
"NA_avg_temp",2,2
"NA_fq_Maximum_temperature..31",32,61
"NA_fq_Minimum_temperature...15",61,61
"NA_fq_Precipitation_amount..0.1",4,5
"NA_fq_Precipitation_amount..40",61,61
"NA_fq_Snow_depth..1",17,61
"NA_fq_Snow_depth..4",61,4
"NA_length_days",61,61
"NA_sk_Maximum_temperature..31",16,61
"NA_sk_Minimum_temperature...15",61,61
"NA_sk_Precipitation_amount..0.1",12,61
"NA_sk_Precipitation_amount..40",61,61
"NA_sk_Snow_depth..1",14,61
"NA_sk_Snow_depth..4",29,61
"NA_total_prec",10,61
"vegetative_avg_temp",61,61
"vegetative_fq_Maximum_temperature..31",26,61
"vegetative_fq_Precipitation_amount..0.1",20,61
"vegetative_fq_Precipitation_amount..40",30,61
"vegetative_fq_Snow_depth..1",61,61
"vegetative_fq_Snow_depth..4",61,61
"vegetative_length_days",61,61
"vegetative_since_nyear_days",8,3
"vegetative_sk_Maximum_temperature..31",33,61
"vegetative_sk_Precipitation_amount..0.1",9,61
"vegetative_sk_Precipitation_amount..40",34,61
"vegetative_sk_Snow_depth..1",61,61
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",19,61
"critical_events",61,61
"filling",25,61
"generative",61,61
"NA.",6,61
"vegetative",61,61
"area",1,1
