"","Lambda_0.00576968934386906 Alpha_0.5","Lambda_0.0370879849021372 Alpha_0.5"
"filling_avg_temp",5,20
"filling_fq_Maximum_temperature..31",40,20
"filling_fq_Precipitation_amount..0.1",40,20
"filling_fq_Precipitation_amount..40",7,20
"filling_fq_Snow_depth..1",18,20
"filling_length_days",20,20
"filling_since_nyear_days",40,20
"filling_since_seed_days",27,9
"filling_sk_Maximum_temperature..31",12,18
"filling_sk_Precipitation_amount..0.1",40,20
"filling_sk_Precipitation_amount..40",40,20
"filling_sk_Snow_depth..1",30,20
"filling_total_prec",29,17
"generative_avg_temp",2,3
"generative_fq_Maximum_temperature..31",9,20
"generative_fq_Precipitation_amount..0.1",40,20
"generative_fq_Precipitation_amount..40",4,8
"generative_fq_Snow_depth..1",26,12
"generative_length_days",36,11
"generative_since_nyear_days",40,20
"generative_since_seed_days",40,20
"generative_sk_Maximum_temperature..31",10,20
"generative_sk_Precipitation_amount..0.1",31,20
"generative_sk_Precipitation_amount..40",11,7
"generative_sk_Snow_depth..1",38,14
"generative_total_prec",32,16
"NA_avg_temp",6,2
"NA_fq_Maximum_temperature..31",3,5
"NA_fq_Minimum_temperature...15",40,20
"NA_fq_Precipitation_amount..0.1",19,10
"NA_fq_Precipitation_amount..40",40,20
"NA_fq_Snow_depth..1",22,15
"NA_fq_Snow_depth..4",35,13
"NA_length_days",40,20
"NA_sk_Maximum_temperature..31",1,4
"NA_sk_Minimum_temperature...15",40,20
"NA_sk_Precipitation_amount..0.1",21,20
"NA_sk_Precipitation_amount..40",40,20
"NA_sk_Snow_depth..1",24,20
"NA_sk_Snow_depth..4",39,20
"NA_total_prec",33,19
"vegetative_avg_temp",40,20
"vegetative_fq_Maximum_temperature..31",17,20
"vegetative_fq_Precipitation_amount..0.1",16,20
"vegetative_fq_Precipitation_amount..40",13,20
"vegetative_fq_Snow_depth..1",40,20
"vegetative_fq_Snow_depth..4",40,20
"vegetative_length_days",40,20
"vegetative_since_nyear_days",14,6
"vegetative_sk_Maximum_temperature..31",23,20
"vegetative_sk_Precipitation_amount..0.1",15,20
"vegetative_sk_Precipitation_amount..40",34,20
"vegetative_sk_Snow_depth..1",40,20
"vegetative_sk_Snow_depth..4",40,20
"vegetative_total_prec",28,20
"critical_events",40,20
"filling",37,20
"generative",40,20
"NA.",25,20
"vegetative",40,20
"area",8,1
