"","ST 0.00422148462108406","ST 0.0297817394052982"
"filling_avg_temp",4,61
"filling_fq_Maximum_temperature..31",61,61
"filling_fq_Precipitation_amount..0.1",61,61
"filling_fq_Precipitation_amount..40",26,61
"filling_fq_Snow_depth..1",3,61
"filling_length_days",15,61
"filling_since_nyear_days",61,61
"filling_since_seed_days",28,11
"filling_sk_Maximum_temperature..31",18,61
"filling_sk_Precipitation_amount..0.1",61,61
"filling_sk_Precipitation_amount..40",61,61
"filling_sk_Snow_depth..1",21,61
"filling_total_prec",22,8
"generative_avg_temp",14,10
"generative_fq_Maximum_temperature..31",5,61
"generative_fq_Precipitation_amount..0.1",61,61
"generative_fq_Precipitation_amount..40",17,61
"generative_fq_Snow_depth..1",61,7
"generative_length_days",61,9
"generative_since_nyear_days",61,61
"generative_since_seed_days",61,61
"generative_sk_Maximum_temperature..31",24,61
"generative_sk_Precipitation_amount..0.1",31,61
"generative_sk_Precipitation_amount..40",25,61
"generative_sk_Snow_depth..1",61,12
"generative_total_prec",11,6
"NA_avg_temp",6,3
"NA_fq_Maximum_temperature..31",30,61
"NA_fq_Minimum_temperature...15",61,61
"NA_fq_Precipitation_amount..0.1",2,2
"NA_fq_Precipitation_amount..40",61,61
"NA_fq_Snow_depth..1",20,13
"NA_fq_Snow_depth..4",61,5
"NA_length_days",61,61
"NA_sk_Maximum_temperature..31",19,61
"NA_sk_Minimum_temperature...15",61,61
"NA_sk_Precipitation_amount..0.1",27,61
"NA_sk_Precipitation_amount..40",61,61
"NA_sk_Snow_depth..1",10,61
"NA_sk_Snow_depth..4",61,61
"NA_total_prec",9,61
"vegetative_avg_temp",61,61
"vegetative_fq_Maximum_temperature..31",61,61
"vegetative_fq_Precipitation_amount..0.1",13,61
"vegetative_fq_Precipitation_amount..40",29,61
"vegetative_fq_Snow_depth..1",61,61
"vegetative_fq_Snow_depth..4",61,61
"vegetative_length_days",61,61
"vegetative_since_nyear_days",8,4
"vegetative_sk_Maximum_temperature..31",61,61
"vegetative_sk_Precipitation_amount..0.1",7,61
"vegetative_sk_Precipitation_amount..40",32,61
"vegetative_sk_Snow_depth..1",61,61
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",16,61
"critical_events",61,61
"filling",23,61
"generative",61,61
"NA.",12,61
"vegetative",61,61
"area",1,1
