"","ST 0.0302220873550097","ST 0.0840947532438576"
"filling_avg_temp",3,11
"filling_fq_Maximum_temperature..31",47,47
"filling_fq_Precipitation_amount..0.1",41,26
"filling_fq_Precipitation_amount..40",35,32
"filling_fq_Snow_depth..1",6,12
"filling_length_days",24,37
"filling_since_nyear_days",32,30
"filling_since_seed_days",45,46
"filling_sk_Maximum_temperature..31",19,18
"filling_sk_Precipitation_amount..0.1",40,36
"filling_sk_Precipitation_amount..40",16,23
"filling_sk_Snow_depth..1",28,35
"filling_total_prec",43,50
"generative_avg_temp",13,14
"generative_fq_Maximum_temperature..31",4,4
"generative_fq_Precipitation_amount..0.1",49,44
"generative_fq_Precipitation_amount..40",50,57
"generative_fq_Snow_depth..1",17,16
"generative_length_days",48,52
"generative_since_nyear_days",7,6
"generative_since_seed_days",23,20
"generative_sk_Maximum_temperature..31",26,27
"generative_sk_Precipitation_amount..0.1",58,48
"generative_sk_Precipitation_amount..40",36,33
"generative_sk_Snow_depth..1",31,24
"generative_total_prec",25,21
"NA_avg_temp",10,13
"NA_fq_Maximum_temperature..31",56,54
"NA_fq_Minimum_temperature...15",55,60
"NA_fq_Precipitation_amount..0.1",2,2
"NA_fq_Precipitation_amount..40",30,29
"NA_fq_Snow_depth..1",21,42
"NA_fq_Snow_depth..4",9,9
"NA_length_days",44,51
"NA_sk_Maximum_temperature..31",27,19
"NA_sk_Minimum_temperature...15",15,10
"NA_sk_Precipitation_amount..0.1",33,39
"NA_sk_Precipitation_amount..40",57,58
"NA_sk_Snow_depth..1",14,17
"NA_sk_Snow_depth..4",34,45
"NA_total_prec",8,5
"vegetative_avg_temp",18,22
"vegetative_fq_Maximum_temperature..31",59,59
"vegetative_fq_Precipitation_amount..0.1",46,40
"vegetative_fq_Precipitation_amount..40",42,38
"vegetative_fq_Snow_depth..1",12,3
"vegetative_fq_Snow_depth..4",60,55
"vegetative_length_days",39,28
"vegetative_since_nyear_days",11,8
"vegetative_sk_Maximum_temperature..31",54,56
"vegetative_sk_Precipitation_amount..0.1",5,7
"vegetative_sk_Precipitation_amount..40",52,49
"vegetative_sk_Snow_depth..1",51,43
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",29,25
"critical_events",38,31
"filling",22,41
"generative",53,53
"NA.",20,15
"vegetative",37,34
"area",1,1
