"","Lambda_0.0302220873550097 Alpha_0","Lambda_0.0840947532438576 Alpha_0"
"filling_avg_temp",12,18
"filling_fq_Maximum_temperature..31",22,20
"filling_fq_Precipitation_amount..0.1",59,49
"filling_fq_Precipitation_amount..40",1,3
"filling_fq_Snow_depth..1",35,51
"filling_length_days",38,50
"filling_since_nyear_days",41,43
"filling_since_seed_days",34,33
"filling_sk_Maximum_temperature..31",11,8
"filling_sk_Precipitation_amount..0.1",44,38
"filling_sk_Precipitation_amount..40",6,13
"filling_sk_Snow_depth..1",46,52
"filling_total_prec",54,53
"generative_avg_temp",17,17
"generative_fq_Maximum_temperature..31",10,10
"generative_fq_Precipitation_amount..0.1",40,56
"generative_fq_Precipitation_amount..40",9,5
"generative_fq_Snow_depth..1",27,28
"generative_length_days",28,27
"generative_since_nyear_days",31,31
"generative_since_seed_days",39,39
"generative_sk_Maximum_temperature..31",7,9
"generative_sk_Precipitation_amount..0.1",47,35
"generative_sk_Precipitation_amount..40",8,4
"generative_sk_Snow_depth..1",29,29
"generative_total_prec",60,57
"NA_avg_temp",14,19
"NA_fq_Maximum_temperature..31",2,2
"NA_fq_Minimum_temperature...15",53,55
"NA_fq_Precipitation_amount..0.1",32,32
"NA_fq_Precipitation_amount..40",20,22
"NA_fq_Snow_depth..1",43,47
"NA_fq_Snow_depth..4",45,44
"NA_length_days",58,60
"NA_sk_Maximum_temperature..31",3,1
"NA_sk_Minimum_temperature...15",30,26
"NA_sk_Precipitation_amount..0.1",33,41
"NA_sk_Precipitation_amount..40",21,21
"NA_sk_Snow_depth..1",37,45
"NA_sk_Snow_depth..4",56,58
"NA_total_prec",57,54
"vegetative_avg_temp",23,23
"vegetative_fq_Maximum_temperature..31",5,16
"vegetative_fq_Precipitation_amount..0.1",25,30
"vegetative_fq_Precipitation_amount..40",16,7
"vegetative_fq_Snow_depth..1",48,36
"vegetative_fq_Snow_depth..4",19,11
"vegetative_length_days",51,37
"vegetative_since_nyear_days",26,24
"vegetative_sk_Maximum_temperature..31",4,15
"vegetative_sk_Precipitation_amount..0.1",24,25
"vegetative_sk_Precipitation_amount..40",13,6
"vegetative_sk_Snow_depth..1",52,40
"vegetative_sk_Snow_depth..4",18,12
"vegetative_total_prec",49,48
"critical_events",61,61
"filling",55,59
"generative",50,34
"NA.",42,46
"vegetative",36,42
"area",15,14
