"","S1 0.012533004662822","S1 0.116883220707453"
"filling_avg_temp",2,61
"filling_fq_Maximum_temperature..31",61,61
"filling_fq_Precipitation_amount..0.1",61,61
"filling_fq_Precipitation_amount..40",20,61
"filling_fq_Snow_depth..1",7,61
"filling_length_days",10,61
"filling_since_nyear_days",61,61
"filling_since_seed_days",61,9
"filling_sk_Maximum_temperature..31",22,61
"filling_sk_Precipitation_amount..0.1",61,61
"filling_sk_Precipitation_amount..40",61,61
"filling_sk_Snow_depth..1",24,61
"filling_total_prec",16,11
"generative_avg_temp",5,6
"generative_fq_Maximum_temperature..31",23,61
"generative_fq_Precipitation_amount..0.1",38,61
"generative_fq_Precipitation_amount..40",34,61
"generative_fq_Snow_depth..1",26,7
"generative_length_days",35,10
"generative_since_nyear_days",61,61
"generative_since_seed_days",61,61
"generative_sk_Maximum_temperature..31",25,61
"generative_sk_Precipitation_amount..0.1",29,61
"generative_sk_Precipitation_amount..40",27,61
"generative_sk_Snow_depth..1",37,13
"generative_total_prec",19,8
"NA_avg_temp",4,4
"NA_fq_Maximum_temperature..31",32,61
"NA_fq_Minimum_temperature...15",61,61
"NA_fq_Precipitation_amount..0.1",3,2
"NA_fq_Precipitation_amount..40",41,61
"NA_fq_Snow_depth..1",17,12
"NA_fq_Snow_depth..4",11,5
"NA_length_days",61,61
"NA_sk_Maximum_temperature..31",21,61
"NA_sk_Minimum_temperature...15",61,61
"NA_sk_Precipitation_amount..0.1",15,61
"NA_sk_Precipitation_amount..40",33,61
"NA_sk_Snow_depth..1",9,61
"NA_sk_Snow_depth..4",28,61
"NA_total_prec",12,61
"vegetative_avg_temp",61,61
"vegetative_fq_Maximum_temperature..31",31,61
"vegetative_fq_Precipitation_amount..0.1",14,61
"vegetative_fq_Precipitation_amount..40",30,61
"vegetative_fq_Snow_depth..1",61,61
"vegetative_fq_Snow_depth..4",61,61
"vegetative_length_days",61,61
"vegetative_since_nyear_days",8,3
"vegetative_sk_Maximum_temperature..31",39,61
"vegetative_sk_Precipitation_amount..0.1",13,61
"vegetative_sk_Precipitation_amount..40",40,61
"vegetative_sk_Snow_depth..1",61,61
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",18,61
"critical_events",61,61
"filling",36,61
"generative",61,61
"NA.",6,61
"vegetative",61,61
"area",1,1
