"","ST 0.012533004662822","ST 0.116883220707453"
"filling_avg_temp",2,61
"filling_fq_Maximum_temperature..31",61,61
"filling_fq_Precipitation_amount..0.1",61,61
"filling_fq_Precipitation_amount..40",19,61
"filling_fq_Snow_depth..1",6,61
"filling_length_days",12,61
"filling_since_nyear_days",61,61
"filling_since_seed_days",61,11
"filling_sk_Maximum_temperature..31",23,61
"filling_sk_Precipitation_amount..0.1",61,61
"filling_sk_Precipitation_amount..40",61,61
"filling_sk_Snow_depth..1",24,61
"filling_total_prec",15,10
"generative_avg_temp",5,6
"generative_fq_Maximum_temperature..31",22,61
"generative_fq_Precipitation_amount..0.1",39,61
"generative_fq_Precipitation_amount..40",32,61
"generative_fq_Snow_depth..1",26,7
"generative_length_days",35,12
"generative_since_nyear_days",61,61
"generative_since_seed_days",61,61
"generative_sk_Maximum_temperature..31",25,61
"generative_sk_Precipitation_amount..0.1",29,61
"generative_sk_Precipitation_amount..40",30,61
"generative_sk_Snow_depth..1",36,13
"generative_total_prec",20,9
"NA_avg_temp",4,4
"NA_fq_Maximum_temperature..31",31,61
"NA_fq_Minimum_temperature...15",61,61
"NA_fq_Precipitation_amount..0.1",3,2
"NA_fq_Precipitation_amount..40",41,61
"NA_fq_Snow_depth..1",18,8
"NA_fq_Snow_depth..4",11,5
"NA_length_days",61,61
"NA_sk_Maximum_temperature..31",21,61
"NA_sk_Minimum_temperature...15",61,61
"NA_sk_Precipitation_amount..0.1",16,61
"NA_sk_Precipitation_amount..40",38,61
"NA_sk_Snow_depth..1",9,61
"NA_sk_Snow_depth..4",27,61
"NA_total_prec",10,61
"vegetative_avg_temp",61,61
"vegetative_fq_Maximum_temperature..31",33,61
"vegetative_fq_Precipitation_amount..0.1",14,61
"vegetative_fq_Precipitation_amount..40",34,61
"vegetative_fq_Snow_depth..1",61,61
"vegetative_fq_Snow_depth..4",61,61
"vegetative_length_days",61,61
"vegetative_since_nyear_days",8,3
"vegetative_sk_Maximum_temperature..31",37,61
"vegetative_sk_Precipitation_amount..0.1",13,61
"vegetative_sk_Precipitation_amount..40",40,61
"vegetative_sk_Snow_depth..1",61,61
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",17,61
"critical_events",61,61
"filling",28,61
"generative",61,61
"NA.",7,61
"vegetative",61,61
"area",1,1
