Variable,a0,a025,a05,a075,a1
filling_avg_temp,3,61,61,61,61
filling_fq_Maximum_temperature..31,41,20,61,61,61
filling_fq_Precipitation_amount..0.1,49,61,61,61,61
filling_fq_Precipitation_amount..40,14,61,61,61,61
filling_fq_Snow_depth..1,42,61,61,61,61
filling_length_days,40,61,61,61,61
filling_since_nyear_days,32,61,61,61,61
filling_since_seed_days,22,6,7,10,61
filling_sk_Maximum_temperature..31,15,13,19,61,61
filling_sk_Precipitation_amount..0.1,47,61,61,61,61
filling_sk_Precipitation_amount..40,36,61,61,61,61
filling_sk_Snow_depth..1,43,61,61,61,61
filling_total_prec,7,9,10,8,61
generative_avg_temp,12,7,6,4,5
generative_fq_Maximum_temperature..31,38,61,61,61,61
generative_fq_Precipitation_amount..0.1,57,61,61,61,61
generative_fq_Precipitation_amount..40,30,19,18,15,61
generative_fq_Snow_depth..1,19,12,13,12,8
generative_length_days,18,11,11,13,9
generative_since_nyear_days,13,61,61,61,61
generative_since_seed_days,35,61,61,61,61
generative_sk_Maximum_temperature..31,37,61,61,61,61
generative_sk_Precipitation_amount..0.1,45,61,61,61,61
generative_sk_Precipitation_amount..40,29,18,17,17,61
generative_sk_Snow_depth..1,20,14,14,18,61
generative_total_prec,31,15,8,7,7
NA_avg_temp,9,5,3,2,3
NA_fq_Maximum_temperature..31,26,17,16,14,61
NA_fq_Minimum_temperature...15,46,61,61,61,61
NA_fq_Precipitation_amount..0.1,2,4,5,6,6
NA_fq_Precipitation_amount..40,56,61,61,61,61
NA_fq_Snow_depth..1,5,8,9,9,61
NA_fq_Snow_depth..4,6,3,4,5,4
NA_length_days,54,61,61,61,61
NA_sk_Maximum_temperature..31,25,16,15,16,61
NA_sk_Minimum_temperature...15,17,61,61,61,61
NA_sk_Precipitation_amount..0.1,44,61,61,61,61
NA_sk_Precipitation_amount..40,55,61,61,61,61
NA_sk_Snow_depth..1,10,61,61,61,61
NA_sk_Snow_depth..4,48,61,61,61,61
NA_total_prec,4,10,12,11,61
vegetative_avg_temp,27,61,61,61,61
vegetative_fq_Maximum_temperature..31,61,61,61,61,61
vegetative_fq_Precipitation_amount..0.1,23,61,61,61,61
vegetative_fq_Precipitation_amount..40,52,61,61,61,61
vegetative_fq_Snow_depth..1,33,61,61,61,61
vegetative_fq_Snow_depth..4,58,61,61,61,61
vegetative_length_days,34,61,61,61,61
vegetative_since_nyear_days,11,2,2,3,2
vegetative_sk_Maximum_temperature..31,60,61,61,61,61
vegetative_sk_Precipitation_amount..0.1,21,61,61,61,61
vegetative_sk_Precipitation_amount..40,51,61,61,61,61
vegetative_sk_Snow_depth..1,39,61,61,61,61
vegetative_sk_Snow_depth..4,59,61,61,61,61
vegetative_total_prec,16,61,61,61,61
critical_events,50,61,61,61,61
filling,53,61,61,61,61
generative,24,61,61,61,61
NA.,8,61,61,61,61
vegetative,28,61,61,61,61
area,1,1,1,1,1
