Variable,a0,a025,a05,a075,a1
filling_avg_temp,4,61,61,61,61
filling_fq_Maximum_temperature..31,43,20,61,61,61
filling_fq_Precipitation_amount..0.1,39,61,61,61,61
filling_fq_Precipitation_amount..40,13,61,61,61,61
filling_fq_Snow_depth..1,26,61,61,61,61
filling_length_days,41,61,61,61,61
filling_since_nyear_days,23,61,61,61,61
filling_since_seed_days,57,6,9,61,61
filling_sk_Maximum_temperature..31,17,12,61,61,61
filling_sk_Precipitation_amount..0.1,38,61,61,61,61
filling_sk_Precipitation_amount..40,33,61,61,61,61
filling_sk_Snow_depth..1,36,61,61,61,61
filling_total_prec,9,8,11,9,9
generative_avg_temp,14,7,6,6,6
generative_fq_Maximum_temperature..31,30,61,61,61,61
generative_fq_Precipitation_amount..0.1,47,61,61,61,61
generative_fq_Precipitation_amount..40,44,17,61,61,61
generative_fq_Snow_depth..1,52,10,7,7,8
generative_length_days,25,13,10,10,10
generative_since_nyear_days,11,61,61,61,61
generative_since_seed_days,40,61,61,61,61
generative_sk_Maximum_temperature..31,29,61,61,61,61
generative_sk_Precipitation_amount..0.1,59,61,61,61,61
generative_sk_Precipitation_amount..40,28,16,61,61,61
generative_sk_Snow_depth..1,22,14,13,11,61
generative_total_prec,32,15,8,8,7
NA_avg_temp,5,4,4,4,4
NA_fq_Maximum_temperature..31,53,19,61,61,61
NA_fq_Minimum_temperature...15,7,61,61,61,61
NA_fq_Precipitation_amount..0.1,2,2,2,2,2
NA_fq_Precipitation_amount..40,56,61,61,61,61
NA_fq_Snow_depth..1,16,9,12,61,61
NA_fq_Snow_depth..4,3,5,5,5,5
NA_length_days,58,61,61,61,61
NA_sk_Maximum_temperature..31,20,18,61,61,61
NA_sk_Minimum_temperature...15,15,61,61,61,61
NA_sk_Precipitation_amount..0.1,35,61,61,61,61
NA_sk_Precipitation_amount..40,48,61,61,61,61
NA_sk_Snow_depth..1,10,61,61,61,61
NA_sk_Snow_depth..4,46,61,61,61,61
NA_total_prec,8,11,61,61,61
vegetative_avg_temp,34,61,61,61,61
vegetative_fq_Maximum_temperature..31,55,61,61,61,61
vegetative_fq_Precipitation_amount..0.1,42,61,61,61,61
vegetative_fq_Precipitation_amount..40,51,61,61,61,61
vegetative_fq_Snow_depth..1,49,61,61,61,61
vegetative_fq_Snow_depth..4,54,61,61,61,61
vegetative_length_days,31,61,61,61,61
vegetative_since_nyear_days,12,3,3,3,3
vegetative_sk_Maximum_temperature..31,60,61,61,61,61
vegetative_sk_Precipitation_amount..0.1,19,61,61,61,61
vegetative_sk_Precipitation_amount..40,45,61,61,61,61
vegetative_sk_Snow_depth..1,27,61,61,61,61
vegetative_sk_Snow_depth..4,61,61,61,61,61
vegetative_total_prec,21,61,61,61,61
critical_events,37,61,61,61,61
filling,50,61,61,61,61
generative,18,61,61,61,61
NA.,6,61,61,61,61
vegetative,24,61,61,61,61
area,1,1,1,1,1
