Variable,a0,a025,a05,a075,a1
filling_avg_temp,4,61,61,61,61
filling_fq_Maximum_temperature..31,44,19,61,61,61
filling_fq_Precipitation_amount..0.1,37,61,61,61,61
filling_fq_Precipitation_amount..40,13,61,61,61,61
filling_fq_Snow_depth..1,24,61,61,61,61
filling_length_days,36,61,61,61,61
filling_since_nyear_days,23,61,61,61,61
filling_since_seed_days,55,6,11,61,61
filling_sk_Maximum_temperature..31,17,11,61,61,61
filling_sk_Precipitation_amount..0.1,41,61,61,61,61
filling_sk_Precipitation_amount..40,34,61,61,61,61
filling_sk_Snow_depth..1,42,61,61,61,61
filling_total_prec,9,9,10,9,9
generative_avg_temp,11,7,6,6,6
generative_fq_Maximum_temperature..31,32,61,61,61,61
generative_fq_Precipitation_amount..0.1,61,61,61,61,61
generative_fq_Precipitation_amount..40,33,16,61,61,61
generative_fq_Snow_depth..1,39,10,7,7,8
generative_length_days,25,15,12,10,10
generative_since_nyear_days,12,61,61,61,61
generative_since_seed_days,29,61,61,61,61
generative_sk_Maximum_temperature..31,38,61,61,61,61
generative_sk_Precipitation_amount..0.1,45,61,61,61,61
generative_sk_Precipitation_amount..40,27,20,61,61,61
generative_sk_Snow_depth..1,20,14,13,11,61
generative_total_prec,31,12,9,8,7
NA_avg_temp,5,5,4,4,4
NA_fq_Maximum_temperature..31,51,18,61,61,61
NA_fq_Minimum_temperature...15,7,61,61,61,61
NA_fq_Precipitation_amount..0.1,2,2,2,2,2
NA_fq_Precipitation_amount..40,59,61,61,61,61
NA_fq_Snow_depth..1,14,8,8,61,61
NA_fq_Snow_depth..4,3,4,5,5,5
NA_length_days,52,61,61,61,61
NA_sk_Maximum_temperature..31,22,17,61,61,61
NA_sk_Minimum_temperature...15,15,61,61,61,61
NA_sk_Precipitation_amount..0.1,30,61,61,61,61
NA_sk_Precipitation_amount..40,53,61,61,61,61
NA_sk_Snow_depth..1,10,61,61,61,61
NA_sk_Snow_depth..4,54,61,61,61,61
NA_total_prec,8,13,61,61,61
vegetative_avg_temp,43,61,61,61,61
vegetative_fq_Maximum_temperature..31,56,61,61,61,61
vegetative_fq_Precipitation_amount..0.1,46,61,61,61,61
vegetative_fq_Precipitation_amount..40,50,61,61,61,61
vegetative_fq_Snow_depth..1,49,61,61,61,61
vegetative_fq_Snow_depth..4,60,61,61,61,61
vegetative_length_days,35,61,61,61,61
vegetative_since_nyear_days,16,3,3,3,3
vegetative_sk_Maximum_temperature..31,57,61,61,61,61
vegetative_sk_Precipitation_amount..0.1,21,61,61,61,61
vegetative_sk_Precipitation_amount..40,47,61,61,61,61
vegetative_sk_Snow_depth..1,28,61,61,61,61
vegetative_sk_Snow_depth..4,58,61,61,61,61
vegetative_total_prec,19,61,61,61,61
critical_events,40,61,61,61,61
filling,48,61,61,61,61
generative,18,61,61,61,61
NA.,6,61,61,61,61
vegetative,26,61,61,61,61
area,1,1,1,1,1
