Variable,a0,a025,a05,a075,a1
filling_avg_temp,2,2,2,61,2
filling_fq_Maximum_temperature..31,45,61,61,61,61
filling_fq_Precipitation_amount..0.1,59,61,61,61,61
filling_fq_Precipitation_amount..40,14,22,21,18,20
filling_fq_Snow_depth..1,22,14,7,61,5
filling_length_days,24,13,14,61,35
filling_since_nyear_days,34,61,61,61,61
filling_since_seed_days,26,61,61,7,26
filling_sk_Maximum_temperature..31,17,32,29,13,23
filling_sk_Precipitation_amount..0.1,48,61,61,61,61
filling_sk_Precipitation_amount..40,29,61,61,61,61
filling_sk_Snow_depth..1,31,17,27,61,25
filling_total_prec,11,11,12,9,12
generative_avg_temp,10,4,3,2,3
generative_fq_Maximum_temperature..31,37,29,24,61,19
generative_fq_Precipitation_amount..0.1,46,33,39,61,61
generative_fq_Precipitation_amount..40,40,27,20,15,18
generative_fq_Snow_depth..1,20,20,28,61,61
generative_length_days,21,31,37,61,61
generative_since_nyear_days,18,61,61,61,61
generative_since_seed_days,42,61,61,61,61
generative_sk_Maximum_temperature..31,36,26,25,61,30
generative_sk_Precipitation_amount..0.1,51,35,31,61,24
generative_sk_Precipitation_amount..40,39,30,32,17,32
generative_sk_Snow_depth..1,23,36,38,61,61
generative_total_prec,35,19,16,10,15
NA_avg_temp,3,3,4,3,4
NA_fq_Maximum_temperature..31,32,25,23,14,22
NA_fq_Minimum_temperature...15,38,61,61,61,61
NA_fq_Precipitation_amount..0.1,5,10,10,4,8
NA_fq_Precipitation_amount..40,55,41,41,61,61
NA_fq_Snow_depth..1,6,7,5,8,6
NA_fq_Snow_depth..4,9,16,18,12,61
NA_length_days,49,61,61,61,61
NA_sk_Maximum_temperature..31,33,24,19,16,17
NA_sk_Minimum_temperature...15,27,34,61,61,61
NA_sk_Precipitation_amount..0.1,30,21,22,61,21
NA_sk_Precipitation_amount..40,56,40,36,61,61
NA_sk_Snow_depth..1,7,8,11,61,11
NA_sk_Snow_depth..4,25,23,26,61,31
NA_total_prec,4,9,9,6,9
vegetative_avg_temp,19,61,61,61,61
vegetative_fq_Maximum_temperature..31,54,37,34,61,29
vegetative_fq_Precipitation_amount..0.1,13,12,13,61,13
vegetative_fq_Precipitation_amount..40,58,39,33,61,28
vegetative_fq_Snow_depth..1,44,61,61,61,61
vegetative_fq_Snow_depth..4,61,61,61,61,61
vegetative_length_days,47,61,61,61,61
vegetative_since_nyear_days,12,5,6,5,7
vegetative_sk_Maximum_temperature..31,53,38,35,61,33
vegetative_sk_Precipitation_amount..0.1,15,15,15,11,14
vegetative_sk_Precipitation_amount..40,57,42,40,61,34
vegetative_sk_Snow_depth..1,50,61,61,61,61
vegetative_sk_Snow_depth..4,60,61,61,61,61
vegetative_total_prec,16,18,17,19,16
critical_events,52,61,61,61,61
filling,41,28,30,61,27
generative,43,61,61,61,61
NA.,8,6,8,61,10
vegetative,28,61,61,61,61
area,1,1,1,1,1
