Variable,a0,a025,a05,a075,a1
filling_avg_temp,3,4,2,5,4
filling_fq_Maximum_temperature..31,28,61,61,61,61
filling_fq_Precipitation_amount..0.1,41,61,61,61,61
filling_fq_Precipitation_amount..40,11,19,20,19,19
filling_fq_Snow_depth..1,14,14,7,8,6
filling_length_days,21,21,10,18,61
filling_since_nyear_days,25,61,61,61,61
filling_since_seed_days,55,23,61,23,23
filling_sk_Maximum_temperature..31,16,15,22,21,21
filling_sk_Precipitation_amount..0.1,38,61,61,61,61
filling_sk_Precipitation_amount..40,26,61,61,61,61
filling_sk_Snow_depth..1,31,31,24,24,24
filling_total_prec,12,9,16,13,11
generative_avg_temp,9,5,5,3,3
generative_fq_Maximum_temperature..31,32,25,23,20,18
generative_fq_Precipitation_amount..0.1,52,61,38,61,61
generative_fq_Precipitation_amount..40,56,30,34,26,22
generative_fq_Snow_depth..1,39,20,26,61,61
generative_length_days,33,27,35,61,61
generative_since_nyear_days,13,61,61,61,61
generative_since_seed_days,47,61,61,61,61
generative_sk_Maximum_temperature..31,34,26,25,30,29
generative_sk_Precipitation_amount..0.1,54,35,29,27,25
generative_sk_Precipitation_amount..40,35,24,27,25,30
generative_sk_Snow_depth..1,37,32,37,61,61
generative_total_prec,48,16,19,17,16
NA_avg_temp,4,3,4,4,5
NA_fq_Maximum_temperature..31,59,34,32,28,26
NA_fq_Minimum_temperature...15,7,61,61,61,61
NA_fq_Precipitation_amount..0.1,2,2,3,2,2
NA_fq_Precipitation_amount..40,53,61,41,61,61
NA_fq_Snow_depth..1,46,12,17,11,13
NA_fq_Snow_depth..4,5,11,11,61,61
NA_length_days,36,61,61,61,61
NA_sk_Maximum_temperature..31,27,22,21,22,20
NA_sk_Minimum_temperature...15,18,29,61,61,61
NA_sk_Precipitation_amount..0.1,20,18,15,15,14
NA_sk_Precipitation_amount..40,44,61,33,61,61
NA_sk_Snow_depth..1,8,10,9,10,9
NA_sk_Snow_depth..4,30,61,28,61,61
NA_total_prec,10,8,12,9,10
vegetative_avg_temp,22,61,61,61,61
vegetative_fq_Maximum_temperature..31,51,61,31,61,61
vegetative_fq_Precipitation_amount..0.1,24,28,14,14,15
vegetative_fq_Precipitation_amount..40,57,36,30,31,28
vegetative_fq_Snow_depth..1,42,61,61,61,61
vegetative_fq_Snow_depth..4,58,61,61,61,61
vegetative_length_days,49,61,61,61,61
vegetative_since_nyear_days,15,6,8,6,8
vegetative_sk_Maximum_temperature..31,60,61,39,61,61
vegetative_sk_Precipitation_amount..0.1,17,13,13,12,12
vegetative_sk_Precipitation_amount..40,50,37,40,32,31
vegetative_sk_Snow_depth..1,40,61,61,61,61
vegetative_sk_Snow_depth..4,61,61,61,61,61
vegetative_total_prec,19,17,18,16,17
critical_events,43,61,61,61,61
filling,45,33,36,29,27
generative,29,61,61,61,61
NA.,6,7,6,7,7
vegetative,23,61,61,61,61
area,1,1,1,1,1
