Variable,a0,a025,a05,a075,a1
filling_avg_temp,3,5,2,5,4
filling_fq_Maximum_temperature..31,29,61,61,61,61
filling_fq_Precipitation_amount..0.1,44,61,61,61,61
filling_fq_Precipitation_amount..40,11,18,19,18,19
filling_fq_Snow_depth..1,13,15,6,6,6
filling_length_days,21,21,12,14,61
filling_since_nyear_days,23,61,61,61,61
filling_since_seed_days,50,30,61,24,23
filling_sk_Maximum_temperature..31,15,17,23,20,21
filling_sk_Precipitation_amount..0.1,40,61,61,61,61
filling_sk_Precipitation_amount..40,27,61,61,61,61
filling_sk_Snow_depth..1,38,31,24,23,22
filling_total_prec,12,9,15,12,12
generative_avg_temp,9,4,5,4,5
generative_fq_Maximum_temperature..31,34,27,22,22,16
generative_fq_Precipitation_amount..0.1,46,61,39,61,61
generative_fq_Precipitation_amount..40,45,24,32,27,24
generative_fq_Snow_depth..1,33,22,26,61,61
generative_length_days,31,29,35,61,61
generative_since_nyear_days,14,61,61,61,61
generative_since_seed_days,35,61,61,61,61
generative_sk_Maximum_temperature..31,39,26,25,26,28
generative_sk_Precipitation_amount..0.1,49,35,29,30,26
generative_sk_Precipitation_amount..40,32,23,30,29,30
generative_sk_Snow_depth..1,30,32,36,61,61
generative_total_prec,47,16,20,16,17
NA_avg_temp,4,3,4,3,3
NA_fq_Maximum_temperature..31,61,34,31,25,29
NA_fq_Minimum_temperature...15,7,61,61,61,61
NA_fq_Precipitation_amount..0.1,2,2,3,2,2
NA_fq_Precipitation_amount..40,56,61,41,61,61
NA_fq_Snow_depth..1,37,10,18,10,13
NA_fq_Snow_depth..4,5,11,11,61,61
NA_length_days,36,61,61,61,61
NA_sk_Maximum_temperature..31,26,19,21,21,20
NA_sk_Minimum_temperature...15,18,33,61,61,61
NA_sk_Precipitation_amount..0.1,19,20,16,15,14
NA_sk_Precipitation_amount..40,51,61,38,61,61
NA_sk_Snow_depth..1,8,12,9,9,9
NA_sk_Snow_depth..4,41,61,27,61,61
NA_total_prec,10,8,10,11,10
vegetative_avg_temp,24,61,61,61,61
vegetative_fq_Maximum_temperature..31,53,61,33,61,61
vegetative_fq_Precipitation_amount..0.1,22,25,14,17,15
vegetative_fq_Precipitation_amount..40,55,36,34,31,27
vegetative_fq_Snow_depth..1,43,61,61,61,61
vegetative_fq_Snow_depth..4,60,61,61,61,61
vegetative_length_days,58,61,61,61,61
vegetative_since_nyear_days,20,7,8,8,8
vegetative_sk_Maximum_temperature..31,54,61,37,61,61
vegetative_sk_Precipitation_amount..0.1,17,13,13,13,11
vegetative_sk_Precipitation_amount..40,52,37,40,32,31
vegetative_sk_Snow_depth..1,42,61,61,61,61
vegetative_sk_Snow_depth..4,59,61,61,61,61
vegetative_total_prec,16,14,17,19,18
critical_events,48,61,61,61,61
filling,57,28,28,28,25
generative,28,61,61,61,61
NA.,6,6,7,7,7
vegetative,25,61,61,61,61
area,1,1,1,1,1
