"Alpha","Index","Lambda","filling_avg_temp","filling_fq_Maximum_temperature..31","filling_fq_Precipitation_amount..0.1","filling_fq_Precipitation_amount..40","filling_fq_Snow_depth..1","filling_length_days","filling_since_nyear_days","filling_since_seed_days","filling_sk_Maximum_temperature..31","filling_sk_Precipitation_amount..0.1","filling_sk_Precipitation_amount..40","filling_sk_Snow_depth..1","filling_total_prec","generative_avg_temp","generative_fq_Maximum_temperature..31","generative_fq_Precipitation_amount..0.1","generative_fq_Precipitation_amount..40","generative_fq_Snow_depth..1","generative_length_days","generative_since_nyear_days","generative_since_seed_days","generative_sk_Maximum_temperature..31","generative_sk_Precipitation_amount..0.1","generative_sk_Precipitation_amount..40","generative_sk_Snow_depth..1","generative_total_prec","NA_avg_temp","NA_fq_Maximum_temperature..31","NA_fq_Minimum_temperature...15","NA_fq_Precipitation_amount..0.1","NA_fq_Precipitation_amount..40","NA_fq_Snow_depth..1","NA_fq_Snow_depth..4","NA_length_days","NA_sk_Maximum_temperature..31","NA_sk_Minimum_temperature...15","NA_sk_Precipitation_amount..0.1","NA_sk_Precipitation_amount..40","NA_sk_Snow_depth..1","NA_sk_Snow_depth..4","NA_total_prec","vegetative_avg_temp","vegetative_fq_Maximum_temperature..31","vegetative_fq_Precipitation_amount..0.1","vegetative_fq_Precipitation_amount..40","vegetative_fq_Snow_depth..1","vegetative_fq_Snow_depth..4","vegetative_length_days","vegetative_since_nyear_days","vegetative_sk_Maximum_temperature..31","vegetative_sk_Precipitation_amount..0.1","vegetative_sk_Precipitation_amount..40","vegetative_sk_Snow_depth..1","vegetative_sk_Snow_depth..4","vegetative_total_prec","critical_events","filling","generative","NA.","vegetative","area"
0,"CF_norm","min",0.023173351048651,0.000147804964239042,1.68369283481117e-05,0.00229241237630547,0.000863043198437903,0.000831046558165448,0.000401337908163174,0.000757929121566153,0.00161545183287267,9.29236300947076e-05,0.000632273698177925,0.00055163584779541,0.00467134541727725,0.00504725469621537,0.00031810279011252,0.000101022458349992,0.000285019909749843,0.000990834328609107,0.000937834893849729,0.00131954040091816,0.000222402772280102,0.000337379897087871,6.22469474484068e-05,0.000292357138174882,0.000860062719893562,0.00033855141884363,0.0105732134389452,0.00050380767055134,0.000302986350210615,0.00762920981304294,3.41571219944405e-05,0.0069684648433501,0.00579879491615861,8.7970938621558e-05,0.000492663858958733,0.000733210739646774,0.00056899667448958,3.0661096715146e-05,0.00692072960281187,0.000816125136976858,0.0080259670430334,0.00101066806819437,3.5009820709976e-05,0.00232215253316882,1.72197699959035e-05,0.000156612529977772,3.87463440876615e-06,9.71026394191693e-05,0.0029976276466316,3.78487126746277e-05,0.00183714705693145,1.87059804940542e-05,7.02976139291759e-05,4.67665573254356e-06,0.00167050134510473,4.95862357086512e-05,0.000282928091295618,0.000170094592632421,0.0061194569175641,0.000633531122101773,0.618266971975194
0,"CF_norm","1se",0.00604617207157817,0.000163092647522018,6.87384117592616e-05,0.00117169736756798,0.000162579527567196,0.000172719711585205,0.000243411741655201,0.000743680589336477,0.00107135225375575,0.000101765392348021,0.000184905927215283,0.000148999794807969,0.00387641800404172,0.00241949080196766,0.000184750738506242,8.79290762085126e-06,0.000294035445205567,0.000832501961734445,0.000842702710605043,0.00120082852141372,0.000186340653391019,0.000184896517751455,0.000115867203665506,0.000298648405608322,0.000821902281313981,0.000267964821697909,0.00339257961394826,0.000413125900314236,0.000110204864798232,0.00655518832483003,9.47478423721505e-06,0.00427635033356468,0.00412930799051159,1.56044231619876e-05,0.000421554503891183,0.000918417467104,0.000143345925293839,1.02237083035931e-05,0.00320082271812521,7.98169887811089e-05,0.00598910800108298,0.000352303228398261,4.33673398082564e-06,0.000648228570909433,2.36931950162058e-05,0.000224392977682264,8.35607182455252e-06,0.000208447852811612,0.00273458218160778,4.33881208143349e-06,0.000813447744791769,2.38751813573168e-05,0.00017873432726695,8.22761296801629e-06,0.000959413906564465,5.93191324275621e-05,2.05850877059475e-05,0.00048614952739998,0.0034515168780237,0.00035112366307011,0.463639045190037
0.25,"CF_norm","min",0.0139651344110003,0,0,0.000366966651728522,0.000594061594623324,0.000436391223962867,0,0.000645060965514682,0.000361314139701924,0,0,0.000556443530573413,0.00356363261095163,0.00980346302521276,9.42911954695695e-05,0,0.000205243147021861,0.00033321439142671,0.000327221726070061,0,0,9.79461142930157e-05,1.65055473495556e-06,0.000199608385218007,0.000153463013917137,0.000982255856042982,0.0153119320877477,0.000367417079398068,0,0.0075264191319016,0,0.00689407856882593,0.000753924722188965,0,0.00032344692495685,3.38657940125124e-06,0.000180918196859985,0,0.00320411850541104,0,0.00650484830028854,0,0,0.00131203026342785,6.2620339736521e-07,0,0,0,0.00796022298848966,0,0.00159853573267361,4.64833721751113e-09,0,0,0.000701134161715539,0,8.94094665936977e-05,0,0.00329553818004435,0,0.703678943435087
0.25,"CF_norm","1se",0,1.93004014071781e-06,0,0,0,0,0,0.00140302382434148,0.000176665768227144,0,0,0,0.000646190684813989,0.000984638392157143,0,0,3.1725919231827e-05,0.000141177453825215,0.000168970406920396,0,0,0,0,3.17058659358472e-05,0.000131754137961728,0.000130434720068796,0.00236679562036658,3.56669311047644e-05,0,0.0027128559965713,0,0.000705422345244661,0.00229468464659119,0,3.67019324038724e-05,0,0,0,0,0,0.000526412397597653,0,0,0,0,0,0,0,0.00616352652398519,0,0,0,0,0,0,0,0,0,0,0,0.504004971820658
0.5,"CF_norm","min",0.0255226171092559,0,0,0.000314033278207206,0.000345372475056921,0.0021205560579846,0,0.000242121800816031,0.000156781841270926,0,0,0.000949887247401169,0.00381497895992561,0.0195555402761193,7.75519434330811e-05,0,0.00033818158933415,0.000144546550467077,5.77137844880652e-06,0,0,0.000168531622258723,5.28925536710883e-06,7.1514307674941e-05,6.15145112032865e-07,0.00113940233730977,0.0189314777182951,0.000560565831660062,0,0.00742352783560184,0,0.0117395465893466,1.21276307528231e-05,0,0.000180654981640472,0,0.000213544404338372,0,0.00379063875709737,0,0.00603092451539305,0,0,0.00203531860714318,4.69967564564431e-07,0,0,0,0.00853301546412621,0,0.00203845523849395,3.25775954147835e-10,0,0,0.000781147507272413,0,0.000155567448244047,0,0.00352650698240533,0,0.735408222270687
0.5,"CF_norm","1se",0,0,0,0,0,0,0,0.00020327518335251,0,0,0,0,0.00016639209029991,0.000857812977780399,0,0,9.49381779458699e-09,6.70092240500634e-05,6.9385341821601e-05,0,0,0,0,6.08316934240623e-08,3.21732821928037e-05,0.000297262773317704,0.00460218730867133,0,0,0.00106498843384562,0,0.000225188433556304,0.00249362503938873,0,1.22555952756492e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00752758041439513,0,0,0,0,0,0,0,0,0,0,0,0.560674950152625
0.75,"CF_norm","min",0.0317071035048956,0,0,0.000318784649996411,0.0059143416940999,0.00107111907149102,0,0.000147662084551791,0.000104173413823791,0,0,8.3031360407662e-05,0.00356159376487661,0.0246640696771436,0.00025695998468563,0,0.000471511209640291,0,0,0,0,4.2542202882046e-05,7.33585502917808e-06,2.03960297415299e-05,0,0.00121596995270724,0.0207754588899246,0.000404838624605311,0,0.00694594195368091,0,0.0123098423489649,0,0,0.000286306541109176,0,0.000222126672052368,0,0.00401465781983871,0,0.0057458693305746,0,0,0.00227088386832863,3.97926541414167e-07,0,0,0,0.00876251328126381,0,0.00222360736206173,1.76056533568329e-10,0,0,0.000760009019346004,0,3.34270913722091e-05,0,0.00394392672040993,0,0.747075554520546
0.75,"CF_norm","1se",0,0,0,0,0,0,0,0,0,0,0,0,1.42000461543616e-05,0.00135369683979678,0,0,0,4.28001100612975e-05,9.86857147258707e-07,0,0,0,0,0,1.03008875192424e-08,0.00013583212440089,0.0049728202447942,0,0,0.000571606093791841,0,0,0.00339403201219932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00796687238567633,0,0,0,0,0,0,0,0,0,0,0,0.577467119425388
1,"CF_norm","min",0.0353161274673541,0,0,0.000314855239600532,0.0142147873605672,0,0,6.15945854126347e-05,7.49410337518218e-05,0,0,3.81980359429593e-05,0.00359134715889895,0.0255902738107053,0.000467840993861892,0,0.000669983142785827,0,0,0,0,1.68013951779078e-06,8.60598169118152e-06,1.41054938628095e-09,0,0.00123347783553128,0.0220928892975275,0.000311966721023351,0,0.00648774989206529,0,0.0123415947785148,0,0,0.000378232836144831,0,0.000225498775810274,0,0.00418224196853903,0,0.00559106007551347,0,0,0.00259124273435246,5.59557854173692e-07,0,0,0,0.00889468620258698,0,0.00234667496200443,9.24728024982545e-11,0,0,0.000823584746088583,0,3.98870698597246e-05,0,0.0044485078111973,0,0.752960309525659
1,"CF_norm","1se",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143940292453682,0,0,0,3.75912664970013e-11,0,0,0,0,0,0,0,7.0193478820387e-05,0.00542081143370149,0,0,0.000360688659698719,0,0,0.00317949942827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763775253737726,0,0,0,0,0,0,0,0,0,0,0,0.59230661446348
