"","A0_Lambda.min","A0_Lambda.1se","A0.25_Lambda.min","A0.25_Lambda.1se","A0.5_Lambda.min","A0.5_Lambda.1se","A0.75_Lambda.min","A0.75_Lambda.1se","A1_Lambda.min","A1_Lambda.1se"
"filling_avg_temp",2,4,2,61,61,61,61,61,2,61
"filling_fq_Maximum_temperature..31",42,30,61,61,61,61,61,61,61,61
"filling_fq_Precipitation_amount..0.1",59,47,61,61,61,61,61,61,61,61
"filling_fq_Precipitation_amount..40",14,15,21,61,18,61,18,61,21,61
"filling_fq_Snow_depth..1",21,43,15,61,61,61,61,61,3,61
"filling_length_days",22,42,19,61,61,61,61,61,61,61
"filling_since_nyear_days",34,34,61,61,61,61,61,61,61,61
"filling_since_seed_days",26,21,20,6,7,9,7,10,61,61
"filling_sk_Maximum_temperature..31",17,14,26,11,13,61,13,61,26,61
"filling_sk_Precipitation_amount..0.1",48,45,61,61,61,61,61,61,61,61
"filling_sk_Precipitation_amount..40",27,40,61,61,61,61,61,61,61,61
"filling_sk_Snow_depth..1",30,44,18,61,61,61,61,61,31,61
"filling_total_prec",11,7,11,9,9,10,9,8,13,61
"generative_avg_temp",10,12,4,7,4,6,2,5,4,5
"generative_fq_Maximum_temperature..31",37,38,32,61,61,61,61,61,17,61
"generative_fq_Precipitation_amount..0.1",47,51,61,61,61,61,61,61,29,61
"generative_fq_Precipitation_amount..40",41,29,28,18,15,15,15,61,19,61
"generative_fq_Snow_depth..1",20,19,25,14,19,12,61,11,61,8
"generative_length_days",23,18,23,13,20,11,61,12,61,61
"generative_since_nyear_days",18,13,61,61,61,61,61,61,61,61
"generative_since_seed_days",43,36,61,61,61,61,61,61,61,61
"generative_sk_Maximum_temperature..31",35,39,33,61,61,61,61,61,33,61
"generative_sk_Precipitation_amount..0.1",51,41,34,61,61,61,61,61,25,61
"generative_sk_Precipitation_amount..40",40,28,29,19,17,14,17,61,35,61
"generative_sk_Snow_depth..1",25,20,30,15,22,13,61,13,61,61
"generative_total_prec",38,33,14,12,10,7,10,7,15,7
"NA_avg_temp",3,11,3,4,3,3,3,3,5,3
"NA_fq_Maximum_temperature..31",32,26,22,17,14,61,14,61,23,61
"NA_fq_Minimum_temperature...15",36,46,61,61,61,61,61,61,61,61
"NA_fq_Precipitation_amount..0.1",5,2,7,3,2,5,4,6,11,6
"NA_fq_Precipitation_amount..40",55,59,61,61,61,61,61,61,36,61
"NA_fq_Snow_depth..1",7,6,6,10,8,8,8,9,6,61
"NA_fq_Snow_depth..4",9,5,16,5,11,4,12,4,22,4
"NA_length_days",46,50,61,61,61,61,61,61,61,61
"NA_sk_Maximum_temperature..31",33,25,24,16,16,16,16,61,18,61
"NA_sk_Minimum_temperature...15",28,16,35,61,61,61,61,61,61,61
"NA_sk_Precipitation_amount..0.1",31,48,27,61,61,61,61,61,20,61
"NA_sk_Precipitation_amount..40",56,57,61,61,61,61,61,61,32,61
"NA_sk_Snow_depth..1",6,10,10,61,61,61,61,61,9,61
"NA_sk_Snow_depth..4",24,52,37,61,61,61,61,61,24,61
"NA_total_prec",4,3,8,8,6,61,6,61,10,61
"vegetative_avg_temp",19,31,61,61,61,61,61,61,61,61
"vegetative_fq_Maximum_temperature..31",54,60,61,61,61,61,61,61,28,61
"vegetative_fq_Precipitation_amount..0.1",13,24,13,61,61,61,61,61,12,61
"vegetative_fq_Precipitation_amount..40",58,54,36,61,61,61,61,61,30,61
"vegetative_fq_Snow_depth..1",45,32,61,61,61,61,61,61,61,61
"vegetative_fq_Snow_depth..4",61,55,61,61,61,61,61,61,61,61
"vegetative_length_days",49,35,61,61,61,61,61,61,61,61
"vegetative_since_nyear_days",12,9,5,2,5,2,5,2,7,2
"vegetative_sk_Maximum_temperature..31",53,61,61,61,61,61,61,61,34,61
"vegetative_sk_Precipitation_amount..0.1",15,22,12,20,12,61,11,61,14,61
"vegetative_sk_Precipitation_amount..40",57,53,38,61,61,61,61,61,61,61
"vegetative_sk_Snow_depth..1",50,37,61,61,61,61,61,61,61,61
"vegetative_sk_Snow_depth..4",60,56,61,61,61,61,61,61,61,61
"vegetative_total_prec",16,17,17,61,21,61,19,61,16,61
"critical_events",52,49,61,61,61,61,61,61,61,61
"filling",39,58,31,61,61,61,61,61,27,61
"generative",44,23,61,61,61,61,61,61,61,61
"NA.",8,8,9,61,61,61,61,61,8,61
"vegetative",29,27,61,61,61,61,61,61,61,61
"area",1,1,1,1,1,1,1,1,1,1
