"","S1 0.0331687035598726","S1 0.0840947532438576"
"filling_avg_temp",60,57
"filling_fq_Maximum_temperature..31",6,9
"filling_fq_Precipitation_amount..0.1",14,17
"filling_fq_Precipitation_amount..40",43,45
"filling_fq_Snow_depth..1",40,29
"filling_length_days",17,13
"filling_since_nyear_days",38,38
"filling_since_seed_days",53,54
"filling_sk_Maximum_temperature..31",47,49
"filling_sk_Precipitation_amount..0.1",1,1
"filling_sk_Precipitation_amount..40",26,27
"filling_sk_Snow_depth..1",49,46
"filling_total_prec",52,52
"generative_avg_temp",45,48
"generative_fq_Maximum_temperature..31",18,20
"generative_fq_Precipitation_amount..0.1",34,19
"generative_fq_Precipitation_amount..40",22,21
"generative_fq_Snow_depth..1",35,41
"generative_length_days",39,43
"generative_since_nyear_days",55,55
"generative_since_seed_days",5,8
"generative_sk_Maximum_temperature..31",9,5
"generative_sk_Precipitation_amount..0.1",20,26
"generative_sk_Precipitation_amount..40",2,12
"generative_sk_Snow_depth..1",21,33
"generative_total_prec",23,23
"NA_avg_temp",51,42
"NA_fq_Maximum_temperature..31",13,6
"NA_fq_Minimum_temperature...15",24,25
"NA_fq_Precipitation_amount..0.1",50,53
"NA_fq_Precipitation_amount..40",12,11
"NA_fq_Snow_depth..1",58,59
"NA_fq_Snow_depth..4",56,56
"NA_length_days",25,16
"NA_sk_Maximum_temperature..31",27,35
"NA_sk_Minimum_temperature...15",46,51
"NA_sk_Precipitation_amount..0.1",42,39
"NA_sk_Precipitation_amount..40",10,4
"NA_sk_Snow_depth..1",36,31
"NA_sk_Snow_depth..4",48,32
"NA_total_prec",59,60
"vegetative_avg_temp",41,37
"vegetative_fq_Maximum_temperature..31",15,10
"vegetative_fq_Precipitation_amount..0.1",54,50
"vegetative_fq_Precipitation_amount..40",11,14
"vegetative_fq_Snow_depth..1",29,36
"vegetative_fq_Snow_depth..4",8,15
"vegetative_length_days",30,40
"vegetative_since_nyear_days",57,58
"vegetative_sk_Maximum_temperature..31",7,2
"vegetative_sk_Precipitation_amount..0.1",28,22
"vegetative_sk_Precipitation_amount..40",3,3
"vegetative_sk_Snow_depth..1",33,47
"vegetative_sk_Snow_depth..4",4,7
"vegetative_total_prec",31,30
"critical_events",19,18
"filling",44,28
"generative",32,44
"NA.",16,24
"vegetative",37,34
"area",61,61
