"","ST 0.0331687035598726","ST 0.0840947532438576"
"filling_avg_temp",42,51
"filling_fq_Maximum_temperature..31",7,14
"filling_fq_Precipitation_amount..0.1",8,11
"filling_fq_Precipitation_amount..40",59,55
"filling_fq_Snow_depth..1",21,23
"filling_length_days",34,25
"filling_since_nyear_days",11,22
"filling_since_seed_days",53,54
"filling_sk_Maximum_temperature..31",29,42
"filling_sk_Precipitation_amount..0.1",14,19
"filling_sk_Precipitation_amount..40",44,39
"filling_sk_Snow_depth..1",50,43
"filling_total_prec",49,56
"generative_avg_temp",56,53
"generative_fq_Maximum_temperature..31",33,31
"generative_fq_Precipitation_amount..0.1",35,20
"generative_fq_Precipitation_amount..40",19,26
"generative_fq_Snow_depth..1",45,49
"generative_length_days",22,9
"generative_since_nyear_days",54,52
"generative_since_seed_days",25,32
"generative_sk_Maximum_temperature..31",5,6
"generative_sk_Precipitation_amount..0.1",2,13
"generative_sk_Precipitation_amount..40",40,46
"generative_sk_Snow_depth..1",37,44
"generative_total_prec",27,34
"NA_avg_temp",48,35
"NA_fq_Maximum_temperature..31",36,37
"NA_fq_Minimum_temperature...15",26,27
"NA_fq_Precipitation_amount..0.1",55,59
"NA_fq_Precipitation_amount..40",16,12
"NA_fq_Snow_depth..1",60,58
"NA_fq_Snow_depth..4",41,47
"NA_length_days",28,21
"NA_sk_Maximum_temperature..31",30,36
"NA_sk_Minimum_temperature...15",47,48
"NA_sk_Precipitation_amount..0.1",31,28
"NA_sk_Precipitation_amount..40",3,4
"NA_sk_Snow_depth..1",39,30
"NA_sk_Snow_depth..4",43,24
"NA_total_prec",57,57
"vegetative_avg_temp",38,40
"vegetative_fq_Maximum_temperature..31",17,10
"vegetative_fq_Precipitation_amount..0.1",51,41
"vegetative_fq_Precipitation_amount..40",9,15
"vegetative_fq_Snow_depth..1",24,38
"vegetative_fq_Snow_depth..4",10,17
"vegetative_length_days",20,18
"vegetative_since_nyear_days",58,60
"vegetative_sk_Maximum_temperature..31",1,2
"vegetative_sk_Precipitation_amount..0.1",15,8
"vegetative_sk_Precipitation_amount..40",6,1
"vegetative_sk_Snow_depth..1",32,45
"vegetative_sk_Snow_depth..4",4,7
"vegetative_total_prec",13,5
"critical_events",18,16
"filling",46,29
"generative",12,33
"NA.",52,50
"vegetative",23,3
"area",61,61
