"","S1 0.0302220873550097","S1 0.0922938878615801"
"filling_avg_temp",3,4
"filling_fq_Maximum_temperature..31",32,42
"filling_fq_Precipitation_amount..0.1",36,22
"filling_fq_Precipitation_amount..40",9,15
"filling_fq_Snow_depth..1",13,33
"filling_length_days",28,31
"filling_since_nyear_days",50,59
"filling_since_seed_days",26,19
"filling_sk_Maximum_temperature..31",8,6
"filling_sk_Precipitation_amount..0.1",35,36
"filling_sk_Precipitation_amount..40",11,17
"filling_sk_Snow_depth..1",24,34
"filling_total_prec",21,20
"generative_avg_temp",12,29
"generative_fq_Maximum_temperature..31",47,48
"generative_fq_Precipitation_amount..0.1",48,49
"generative_fq_Precipitation_amount..40",51,51
"generative_fq_Snow_depth..1",29,24
"generative_length_days",20,13
"generative_since_nyear_days",37,44
"generative_since_seed_days",25,21
"generative_sk_Maximum_temperature..31",49,46
"generative_sk_Precipitation_amount..0.1",46,41
"generative_sk_Precipitation_amount..40",53,53
"generative_sk_Snow_depth..1",31,30
"generative_total_prec",59,55
"NA_avg_temp",4,3
"NA_fq_Maximum_temperature..31",41,38
"NA_fq_Minimum_temperature...15",7,10
"NA_fq_Precipitation_amount..0.1",2,2
"NA_fq_Precipitation_amount..40",43,47
"NA_fq_Snow_depth..1",16,7
"NA_fq_Snow_depth..4",6,9
"NA_length_days",23,37
"NA_sk_Maximum_temperature..31",40,40
"NA_sk_Minimum_temperature...15",14,8
"NA_sk_Precipitation_amount..0.1",27,28
"NA_sk_Precipitation_amount..40",52,56
"NA_sk_Snow_depth..1",58,27
"NA_sk_Snow_depth..4",55,58
"NA_total_prec",15,14
"vegetative_avg_temp",22,23
"vegetative_fq_Maximum_temperature..31",38,50
"vegetative_fq_Precipitation_amount..0.1",33,32
"vegetative_fq_Precipitation_amount..40",57,52
"vegetative_fq_Snow_depth..1",34,25
"vegetative_fq_Snow_depth..4",60,57
"vegetative_length_days",44,35
"vegetative_since_nyear_days",18,12
"vegetative_sk_Maximum_temperature..31",56,60
"vegetative_sk_Precipitation_amount..0.1",10,11
"vegetative_sk_Precipitation_amount..40",42,39
"vegetative_sk_Snow_depth..1",54,45
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",19,26
"critical_events",45,43
"filling",39,54
"generative",30,16
"NA.",5,5
"vegetative",17,18
"area",1,1
