"","ST 0.0302220873550097","ST 0.0922938878615801"
"filling_avg_temp",3,14
"filling_fq_Maximum_temperature..31",54,45
"filling_fq_Precipitation_amount..0.1",46,22
"filling_fq_Precipitation_amount..40",19,23
"filling_fq_Snow_depth..1",38,52
"filling_length_days",15,25
"filling_since_nyear_days",23,21
"filling_since_seed_days",25,17
"filling_sk_Maximum_temperature..31",27,13
"filling_sk_Precipitation_amount..0.1",51,39
"filling_sk_Precipitation_amount..40",10,10
"filling_sk_Snow_depth..1",20,24
"filling_total_prec",8,4
"generative_avg_temp",9,12
"generative_fq_Maximum_temperature..31",48,48
"generative_fq_Precipitation_amount..0.1",45,54
"generative_fq_Precipitation_amount..40",47,40
"generative_fq_Snow_depth..1",21,16
"generative_length_days",26,19
"generative_since_nyear_days",16,8
"generative_since_seed_days",29,27
"generative_sk_Maximum_temperature..31",31,31
"generative_sk_Precipitation_amount..0.1",53,43
"generative_sk_Precipitation_amount..40",35,35
"generative_sk_Snow_depth..1",22,11
"generative_total_prec",44,37
"NA_avg_temp",11,42
"NA_fq_Maximum_temperature..31",43,41
"NA_fq_Minimum_temperature...15",6,7
"NA_fq_Precipitation_amount..0.1",2,2
"NA_fq_Precipitation_amount..40",42,47
"NA_fq_Snow_depth..1",24,53
"NA_fq_Snow_depth..4",4,3
"NA_length_days",30,36
"NA_sk_Maximum_temperature..31",33,29
"NA_sk_Minimum_temperature...15",55,33
"NA_sk_Precipitation_amount..0.1",14,20
"NA_sk_Precipitation_amount..40",60,61
"NA_sk_Snow_depth..1",5,5
"NA_sk_Snow_depth..4",34,56
"NA_total_prec",17,9
"vegetative_avg_temp",13,15
"vegetative_fq_Maximum_temperature..31",40,51
"vegetative_fq_Precipitation_amount..0.1",18,26
"vegetative_fq_Precipitation_amount..40",57,50
"vegetative_fq_Snow_depth..1",28,18
"vegetative_fq_Snow_depth..4",59,58
"vegetative_length_days",52,46
"vegetative_since_nyear_days",32,28
"vegetative_sk_Maximum_temperature..31",56,59
"vegetative_sk_Precipitation_amount..0.1",7,6
"vegetative_sk_Precipitation_amount..40",49,44
"vegetative_sk_Snow_depth..1",50,38
"vegetative_sk_Snow_depth..4",61,60
"vegetative_total_prec",36,55
"critical_events",41,32
"filling",39,49
"generative",58,57
"NA.",12,34
"vegetative",37,30
"area",1,1
