Variable,a0,a025,a05,a075,a1
filling_avg_temp,16,61,61,61,61
filling_fq_Maximum_temperature..31,20,11,61,61,61
filling_fq_Precipitation_amount..0.1,48,61,61,61,61
filling_fq_Precipitation_amount..40,3,61,61,61,61
filling_fq_Snow_depth..1,53,61,61,61,61
filling_length_days,52,61,61,61,61
filling_since_nyear_days,42,61,61,61,61
filling_since_seed_days,33,10,5,8,61
filling_sk_Maximum_temperature..31,10,4,61,61,61
filling_sk_Precipitation_amount..0.1,40,61,61,61,61
filling_sk_Precipitation_amount..40,13,61,61,61,61
filling_sk_Snow_depth..1,54,61,61,61,61
filling_total_prec,51,18,15,12,61
generative_avg_temp,15,3,3,3,3
generative_fq_Maximum_temperature..31,11,61,61,61,61
generative_fq_Precipitation_amount..0.1,50,61,61,61,61
generative_fq_Precipitation_amount..40,5,9,14,61,61
generative_fq_Snow_depth..1,28,13,8,6,61
generative_length_days,27,12,6,9,61
generative_since_nyear_days,31,61,61,61,61
generative_since_seed_days,38,61,61,61,61
generative_sk_Maximum_temperature..31,12,61,61,61,61
generative_sk_Precipitation_amount..0.1,35,61,61,61,61
generative_sk_Precipitation_amount..40,4,8,11,61,61
generative_sk_Snow_depth..1,29,15,10,13,61
generative_total_prec,57,19,12,10,61
NA_avg_temp,17,2,2,2,2
NA_fq_Maximum_temperature..31,2,7,61,61,61
NA_fq_Minimum_temperature...15,56,61,61,61,61
NA_fq_Precipitation_amount..0.1,32,14,7,5,6
NA_fq_Precipitation_amount..40,22,61,61,61,61
NA_fq_Snow_depth..1,46,17,13,11,61
NA_fq_Snow_depth..4,43,16,9,7,5
NA_length_days,58,61,61,61,61
NA_sk_Maximum_temperature..31,1,6,16,61,61
NA_sk_Minimum_temperature...15,26,61,61,61,61
NA_sk_Precipitation_amount..0.1,47,61,61,61,61
NA_sk_Precipitation_amount..40,21,61,61,61,61
NA_sk_Snow_depth..1,45,61,61,61,61
NA_sk_Snow_depth..4,60,61,61,61,61
NA_total_prec,55,20,61,61,61
vegetative_avg_temp,24,61,61,61,61
vegetative_fq_Maximum_temperature..31,18,61,61,61,61
vegetative_fq_Precipitation_amount..0.1,30,61,61,61,61
vegetative_fq_Precipitation_amount..40,7,61,61,61,61
vegetative_fq_Snow_depth..1,36,61,61,61,61
vegetative_fq_Snow_depth..4,8,61,61,61,61
vegetative_length_days,37,61,61,61,61
vegetative_since_nyear_days,23,5,4,4,4
vegetative_sk_Maximum_temperature..31,19,61,61,61,61
vegetative_sk_Precipitation_amount..0.1,25,61,61,61,61
vegetative_sk_Precipitation_amount..40,6,61,61,61,61
vegetative_sk_Snow_depth..1,39,61,61,61,61
vegetative_sk_Snow_depth..4,9,61,61,61,61
vegetative_total_prec,49,61,61,61,61
critical_events,61,61,61,61,61
filling,59,61,61,61,61
generative,34,61,61,61,61
NA.,44,61,61,61,61
vegetative,41,61,61,61,61
area,14,1,1,1,1
