Variable,a0,a025,a05,a075,a1
filling_avg_temp,4,61,61,61,61
filling_fq_Maximum_temperature..31,42,21,61,61,61
filling_fq_Precipitation_amount..0.1,22,61,61,61,61
filling_fq_Precipitation_amount..40,15,61,61,61,61
filling_fq_Snow_depth..1,33,61,61,61,61
filling_length_days,31,61,61,61,61
filling_since_nyear_days,59,61,61,61,61
filling_since_seed_days,19,5,9,61,61
filling_sk_Maximum_temperature..31,6,14,61,61,61
filling_sk_Precipitation_amount..0.1,36,61,61,61,61
filling_sk_Precipitation_amount..40,17,61,61,61,61
filling_sk_Snow_depth..1,34,61,61,61,61
filling_total_prec,20,8,11,8,61
generative_avg_temp,29,9,10,9,4
generative_fq_Maximum_temperature..31,48,61,61,61,61
generative_fq_Precipitation_amount..0.1,49,61,61,61,61
generative_fq_Precipitation_amount..40,51,13,61,61,61
generative_fq_Snow_depth..1,24,15,13,7,8
generative_length_days,13,12,8,10,61
generative_since_nyear_days,44,61,61,61,61
generative_since_seed_days,21,61,61,61,61
generative_sk_Maximum_temperature..31,46,61,61,61,61
generative_sk_Precipitation_amount..0.1,41,61,61,61,61
generative_sk_Precipitation_amount..40,53,17,61,61,61
generative_sk_Snow_depth..1,30,10,7,11,61
generative_total_prec,55,18,5,5,7
NA_avg_temp,3,3,4,4,2
NA_fq_Maximum_temperature..31,38,20,61,61,61
NA_fq_Minimum_temperature...15,10,61,61,61,61
NA_fq_Precipitation_amount..0.1,2,2,2,2,3
NA_fq_Precipitation_amount..40,47,61,61,61,61
NA_fq_Snow_depth..1,7,6,12,61,61
NA_fq_Snow_depth..4,9,7,3,3,6
NA_length_days,37,61,61,61,61
NA_sk_Maximum_temperature..31,40,11,61,61,61
NA_sk_Minimum_temperature...15,8,61,61,61,61
NA_sk_Precipitation_amount..0.1,28,61,61,61,61
NA_sk_Precipitation_amount..40,56,61,61,61,61
NA_sk_Snow_depth..1,27,61,61,61,61
NA_sk_Snow_depth..4,58,61,61,61,61
NA_total_prec,14,16,61,61,61
vegetative_avg_temp,23,61,61,61,61
vegetative_fq_Maximum_temperature..31,50,61,61,61,61
vegetative_fq_Precipitation_amount..0.1,32,61,61,61,61
vegetative_fq_Precipitation_amount..40,52,61,61,61,61
vegetative_fq_Snow_depth..1,25,61,61,61,61
vegetative_fq_Snow_depth..4,57,61,61,61,61
vegetative_length_days,35,61,61,61,61
vegetative_since_nyear_days,12,4,6,6,5
vegetative_sk_Maximum_temperature..31,60,61,61,61,61
vegetative_sk_Precipitation_amount..0.1,11,19,61,61,61
vegetative_sk_Precipitation_amount..40,39,61,61,61,61
vegetative_sk_Snow_depth..1,45,61,61,61,61
vegetative_sk_Snow_depth..4,61,61,61,61,61
vegetative_total_prec,26,61,61,61,61
critical_events,43,61,61,61,61
filling,54,61,61,61,61
generative,16,61,61,61,61
NA.,5,61,61,61,61
vegetative,18,61,61,61,61
area,1,1,1,1,1
