Variable,a0,a025,a05,a075,a1
filling_avg_temp,14,61,61,61,61
filling_fq_Maximum_temperature..31,45,21,61,61,61
filling_fq_Precipitation_amount..0.1,22,61,61,61,61
filling_fq_Precipitation_amount..40,23,61,61,61,61
filling_fq_Snow_depth..1,52,61,61,61,61
filling_length_days,25,61,61,61,61
filling_since_nyear_days,21,61,61,61,61
filling_since_seed_days,17,8,10,61,61
filling_sk_Maximum_temperature..31,13,18,61,61,61
filling_sk_Precipitation_amount..0.1,39,61,61,61,61
filling_sk_Precipitation_amount..40,10,61,61,61,61
filling_sk_Snow_depth..1,24,61,61,61,61
filling_total_prec,4,5,12,9,61
generative_avg_temp,12,9,9,5,6
generative_fq_Maximum_temperature..31,48,61,61,61,61
generative_fq_Precipitation_amount..0.1,54,61,61,61,61
generative_fq_Precipitation_amount..40,40,13,61,61,61
generative_fq_Snow_depth..1,16,14,11,7,8
generative_length_days,19,15,8,10,61
generative_since_nyear_days,8,61,61,61,61
generative_since_seed_days,27,61,61,61,61
generative_sk_Maximum_temperature..31,31,61,61,61,61
generative_sk_Precipitation_amount..0.1,43,61,61,61,61
generative_sk_Precipitation_amount..40,35,16,61,61,61
generative_sk_Snow_depth..1,11,7,7,11,61
generative_total_prec,37,11,6,6,7
NA_avg_temp,42,19,4,4,2
NA_fq_Maximum_temperature..31,41,20,61,61,61
NA_fq_Minimum_temperature...15,7,61,61,61,61
NA_fq_Precipitation_amount..0.1,2,2,3,3,5
NA_fq_Precipitation_amount..40,47,61,61,61,61
NA_fq_Snow_depth..1,53,4,13,61,61
NA_fq_Snow_depth..4,3,6,5,8,4
NA_length_days,36,61,61,61,61
NA_sk_Maximum_temperature..31,29,12,61,61,61
NA_sk_Minimum_temperature...15,33,61,61,61,61
NA_sk_Precipitation_amount..0.1,20,61,61,61,61
NA_sk_Precipitation_amount..40,61,61,61,61,61
NA_sk_Snow_depth..1,5,61,61,61,61
NA_sk_Snow_depth..4,56,61,61,61,61
NA_total_prec,9,10,61,61,61
vegetative_avg_temp,15,61,61,61,61
vegetative_fq_Maximum_temperature..31,51,61,61,61,61
vegetative_fq_Precipitation_amount..0.1,26,61,61,61,61
vegetative_fq_Precipitation_amount..40,50,61,61,61,61
vegetative_fq_Snow_depth..1,18,61,61,61,61
vegetative_fq_Snow_depth..4,58,61,61,61,61
vegetative_length_days,46,61,61,61,61
vegetative_since_nyear_days,28,3,2,2,3
vegetative_sk_Maximum_temperature..31,59,61,61,61,61
vegetative_sk_Precipitation_amount..0.1,6,17,61,61,61
vegetative_sk_Precipitation_amount..40,44,61,61,61,61
vegetative_sk_Snow_depth..1,38,61,61,61,61
vegetative_sk_Snow_depth..4,60,61,61,61,61
vegetative_total_prec,55,61,61,61,61
critical_events,32,61,61,61,61
filling,49,61,61,61,61
generative,57,61,61,61,61
NA.,34,61,61,61,61
vegetative,30,61,61,61,61
area,1,1,1,1,1
