Variable,a0,a025,a05,a075,a1
filling_avg_temp,12,7,61,4,61
filling_fq_Maximum_temperature..31,22,61,61,61,61
filling_fq_Precipitation_amount..0.1,59,61,61,61,61
filling_fq_Precipitation_amount..40,1,5,9,9,8
filling_fq_Snow_depth..1,35,21,61,17,61
filling_length_days,38,22,61,23,61
filling_since_nyear_days,41,61,61,61,61
filling_since_seed_days,34,29,11,61,10
filling_sk_Maximum_temperature..31,11,13,8,20,7
filling_sk_Precipitation_amount..0.1,44,61,61,61,61
filling_sk_Precipitation_amount..40,6,61,61,61,61
filling_sk_Snow_depth..1,46,26,61,37,61
filling_total_prec,54,32,18,30,15
generative_avg_temp,17,3,3,2,4
generative_fq_Maximum_temperature..31,10,11,61,5,61
generative_fq_Precipitation_amount..0.1,40,61,61,29,61
generative_fq_Precipitation_amount..40,9,4,5,3,1
generative_fq_Snow_depth..1,27,19,14,36,61
generative_length_days,28,24,16,41,61
generative_since_nyear_days,31,61,61,61,61
generative_since_seed_days,39,61,61,61,61
generative_sk_Maximum_temperature..31,7,9,61,12,61
generative_sk_Precipitation_amount..0.1,47,34,61,27,61
generative_sk_Precipitation_amount..40,8,10,6,19,19
generative_sk_Snow_depth..1,29,31,21,39,61
generative_total_prec,60,35,19,32,14
NA_avg_temp,14,6,7,6,6
NA_fq_Maximum_temperature..31,2,2,1,7,2
NA_fq_Minimum_temperature...15,53,61,61,61,61
NA_fq_Precipitation_amount..0.1,32,20,13,22,12
NA_fq_Precipitation_amount..40,20,61,61,38,61
NA_fq_Snow_depth..1,43,25,15,25,13
NA_fq_Snow_depth..4,45,33,17,31,17
NA_length_days,58,61,61,61,61
NA_sk_Maximum_temperature..31,3,1,2,1,3
NA_sk_Minimum_temperature...15,30,39,61,61,61
NA_sk_Precipitation_amount..0.1,33,23,61,21,61
NA_sk_Precipitation_amount..40,21,61,61,18,61
NA_sk_Snow_depth..1,37,27,61,26,61
NA_sk_Snow_depth..4,56,40,61,34,61
NA_total_prec,57,36,20,33,16
vegetative_avg_temp,23,61,61,61,61
vegetative_fq_Maximum_temperature..31,5,17,61,8,61
vegetative_fq_Precipitation_amount..0.1,25,16,61,15,61
vegetative_fq_Precipitation_amount..40,16,12,61,11,61
vegetative_fq_Snow_depth..1,48,61,61,61,61
vegetative_fq_Snow_depth..4,19,61,61,61,61
vegetative_length_days,51,61,61,61,61
vegetative_since_nyear_days,26,14,10,14,9
vegetative_sk_Maximum_temperature..31,4,18,61,13,61
vegetative_sk_Precipitation_amount..0.1,24,15,12,16,11
vegetative_sk_Precipitation_amount..40,13,38,61,40,61
vegetative_sk_Snow_depth..1,52,61,61,61,61
vegetative_sk_Snow_depth..4,18,61,61,61,61
vegetative_total_prec,49,30,22,28,18
critical_events,61,61,61,61,61
filling,55,37,61,35,61
generative,50,61,61,61,61
NA.,42,28,61,24,61
vegetative,36,61,61,61,61
area,15,8,4,10,5
