Variable,a0,a025,a05,a075,a1
filling_avg_temp,3,3,3,3,4
filling_fq_Maximum_temperature..31,32,61,61,61,61
filling_fq_Precipitation_amount..0.1,36,61,61,61,61
filling_fq_Precipitation_amount..40,9,16,28,15,15
filling_fq_Snow_depth..1,13,11,29,30,5
filling_length_days,28,12,19,20,61
filling_since_nyear_days,50,61,61,61,61
filling_since_seed_days,26,36,16,21,27
filling_sk_Maximum_temperature..31,8,25,15,27,26
filling_sk_Precipitation_amount..0.1,35,61,61,61,61
filling_sk_Precipitation_amount..40,11,61,61,61,61
filling_sk_Snow_depth..1,24,17,25,26,24
filling_total_prec,21,14,21,6,6
generative_avg_temp,12,5,5,5,2
generative_fq_Maximum_temperature..31,47,23,26,17,19
generative_fq_Precipitation_amount..0.1,48,42,61,61,61
generative_fq_Precipitation_amount..40,51,22,22,11,14
generative_fq_Snow_depth..1,29,31,31,61,61
generative_length_days,20,28,27,61,61
generative_since_nyear_days,37,61,61,61,61
generative_since_seed_days,25,61,61,61,61
generative_sk_Maximum_temperature..31,49,24,23,24,28
generative_sk_Precipitation_amount..0.1,46,33,35,29,23
generative_sk_Precipitation_amount..40,53,34,30,28,31
generative_sk_Snow_depth..1,31,27,32,61,61
generative_total_prec,59,30,8,7,16
NA_avg_temp,4,4,4,4,17
NA_fq_Maximum_temperature..31,41,32,12,22,29
NA_fq_Minimum_temperature...15,7,61,61,61,61
NA_fq_Precipitation_amount..0.1,2,2,2,2,3
NA_fq_Precipitation_amount..40,43,41,61,61,61
NA_fq_Snow_depth..1,16,6,11,16,11
NA_fq_Snow_depth..4,6,10,24,61,61
NA_length_days,23,61,61,61,61
NA_sk_Maximum_temperature..31,40,18,33,13,22
NA_sk_Minimum_temperature...15,14,38,61,61,61
NA_sk_Precipitation_amount..0.1,27,19,17,25,20
NA_sk_Precipitation_amount..40,52,35,61,61,61
NA_sk_Snow_depth..1,58,13,6,18,8
NA_sk_Snow_depth..4,55,21,61,61,30
NA_total_prec,15,15,14,9,10
vegetative_avg_temp,22,61,61,61,61
vegetative_fq_Maximum_temperature..31,38,37,61,61,25
vegetative_fq_Precipitation_amount..0.1,33,26,9,14,12
vegetative_fq_Precipitation_amount..40,57,40,34,31,32
vegetative_fq_Snow_depth..1,34,61,61,61,61
vegetative_fq_Snow_depth..4,60,61,61,61,61
vegetative_length_days,44,61,61,61,61
vegetative_since_nyear_days,18,7,18,19,9
vegetative_sk_Maximum_temperature..31,56,39,61,61,33
vegetative_sk_Precipitation_amount..0.1,10,9,10,10,7
vegetative_sk_Precipitation_amount..40,42,43,36,32,34
vegetative_sk_Snow_depth..1,54,61,61,61,61
vegetative_sk_Snow_depth..4,61,61,61,61,61
vegetative_total_prec,19,20,20,12,18
critical_events,45,61,61,61,61
filling,39,29,13,23,21
generative,30,61,61,61,61
NA.,5,8,7,8,13
vegetative,17,61,61,61,61
area,1,1,1,1,1
