Variable,a0,a025,a05,a075,a1
filling_avg_temp,3,3,22,5,3
filling_fq_Maximum_temperature..31,54,61,61,61,61
filling_fq_Precipitation_amount..0.1,46,61,61,61,61
filling_fq_Precipitation_amount..40,19,22,24,28,21
filling_fq_Snow_depth..1,38,14,16,6,5
filling_length_days,15,30,11,16,61
filling_since_nyear_days,23,61,61,61,61
filling_since_seed_days,25,34,18,27,28
filling_sk_Maximum_temperature..31,27,29,25,24,22
filling_sk_Precipitation_amount..0.1,51,61,61,61,61
filling_sk_Precipitation_amount..40,10,61,61,61,61
filling_sk_Snow_depth..1,20,15,19,21,23
filling_total_prec,8,8,10,11,7
generative_avg_temp,9,6,4,3,13
generative_fq_Maximum_temperature..31,48,26,30,18,18
generative_fq_Precipitation_amount..0.1,45,41,61,61,61
generative_fq_Precipitation_amount..40,47,23,21,14,15
generative_fq_Snow_depth..1,21,32,23,61,61
generative_length_days,26,27,31,61,61
generative_since_nyear_days,16,61,61,61,61
generative_since_seed_days,29,61,61,61,61
generative_sk_Maximum_temperature..31,31,21,17,26,27
generative_sk_Precipitation_amount..0.1,53,42,34,29,24
generative_sk_Precipitation_amount..40,35,25,26,30,31
generative_sk_Snow_depth..1,22,31,33,61,61
generative_total_prec,44,18,8,12,11
NA_avg_temp,11,4,3,4,2
NA_fq_Maximum_temperature..31,43,35,15,23,32
NA_fq_Minimum_temperature...15,6,61,61,61,61
NA_fq_Precipitation_amount..0.1,2,2,2,2,4
NA_fq_Precipitation_amount..40,42,40,61,61,61
NA_fq_Snow_depth..1,24,7,12,9,17
NA_fq_Snow_depth..4,4,11,32,61,61
NA_length_days,30,61,61,61,61
NA_sk_Maximum_temperature..31,33,20,27,20,16
NA_sk_Minimum_temperature...15,55,33,61,61,61
NA_sk_Precipitation_amount..0.1,14,24,13,17,12
NA_sk_Precipitation_amount..40,60,36,61,61,61
NA_sk_Snow_depth..1,5,10,28,10,14
NA_sk_Snow_depth..4,34,19,61,61,29
NA_total_prec,17,13,6,15,10
vegetative_avg_temp,13,61,61,61,61
vegetative_fq_Maximum_temperature..31,40,37,61,61,26
vegetative_fq_Precipitation_amount..0.1,18,17,9,13,20
vegetative_fq_Precipitation_amount..40,57,39,35,31,30
vegetative_fq_Snow_depth..1,28,61,61,61,61
vegetative_fq_Snow_depth..4,59,61,61,61,61
vegetative_length_days,52,61,61,61,61
vegetative_since_nyear_days,32,9,5,7,8
vegetative_sk_Maximum_temperature..31,56,38,61,61,33
vegetative_sk_Precipitation_amount..0.1,7,16,29,22,9
vegetative_sk_Precipitation_amount..40,49,43,36,32,34
vegetative_sk_Snow_depth..1,50,61,61,61,61
vegetative_sk_Snow_depth..4,61,61,61,61,61
vegetative_total_prec,36,12,20,19,19
critical_events,41,61,61,61,61
filling,39,28,14,25,25
generative,58,61,61,61,61
NA.,12,5,7,8,6
vegetative,37,61,61,61,61
area,1,1,1,1,1
